pmid,split,num_tokens,participants_spans,interventions_spans,outcomes_spans,text_preview
2148830,train,109,hormone-resistant prostatic cancer : | symptomatic metastatic hormone-resistant prostatic cancer . | total of 79 patients were included .,"estramustine phosphate | low dose epirubicin with or without medroxyprogesterone acetate . | treated with estramustine phosphate , another with Epirubicin plus Medroxyprogesterone acetate ( MPA ) , while the third arm consisted of Epirubicin plus placebo . | Epirubicin and MPA .",Best palliation,A randomized study on hormone-resistant prostatic cancer: estramustine phosphate versus low dose epirubicin with or without medroxyprogesterone acetat
19017582,train,442,web-based smoking cessation programs : | participants recruited online,"randomly assigned to either a Web-based smoking cessation program ( Quit Smoking Network ; QSN ) or a Web-based exercise enhancement program ( Active Lives ) adapted somewhat to encourage smoking cessation . | two Web-based smoking cessation programs : ( 1 ) the QSN intervention condition presented cognitive-behavioral strategies , and ( 2 ) the Active Lives control condition provided participants with guidance in developing a physical activity program to assist them with quitting . The QSN condition provided smoking cessation information and behavior change strategies while the Active Lives condition provided participants with physical activity recommendations and goal setting . The QSN condition was designed to be more engaging ( eg , it included multimedia components ) and to present much greater content than is typically found in smoking cessation programs .",smoking cessation | Smoking cessation | smoking cessation | smoking cessation | smoking cessation | smoking abstinence | smoking cessation,Comparing two web-based smoking cessation programs: randomized controlled trial. BACKGROUND Smoking cessation remains a significant public health prob
15536093,train,313,"patients with syncope who are at intermediate risk for an adverse cardiovascular outcome . | single-center study , patients | One hundred three consecutive patients ( 53 women ; mean age 64+/-17 years ) entered the study . | intermediate-risk patients .",syncope unit evaluation and standard care .,presumptive diagnosis | hospital admission | total patient-hospital days | Actuarial survival | survival free from recurrent syncope | diagnostic yield | hospital admission | total length of hospital stay,Syncope Evaluation in the Emergency Department Study (SEEDS): a multidisciplinary approach to syncope management. BACKGROUND The primary aim and centr
19951297,train,279,Hispanics . | Hispanic patients | Patients were recruited from an urban Level I Trauma following screening for an alcohol-related injury or alcohol problems . Five hundred thirty-seven Hispanics | Hispanics .,brief alcohol interventions | brief intervention or treatment as usual .,"effects of ethnic match on drinking outcomes | volume per week , maximum amount , and frequency of 5 or more drinks per occasion . | significant reduction in drinking outcomes | most beneficial | effectiveness of brief intervention",The role of ethnic matching between patient and provider on the effectiveness of brief alcohol interventions with Hispanics. BACKGROUND Evaluating the
22777592,train,297,"Sixty-seven patients with bacterial vaginosis ( BV ) , 50 with intermediate flora and 42 with normal vaginal flora were enrolled","vaginal tablets | pH tablets | receive probiotic lactobacilli vaginal tablets ( L. brevis CD2 , L. salivarius subsp . salicinius , L. plantarum ) or the vaginal pH tablet ( active comparator ) .",vaginal health and inflammatory cytokines : | vaginal health and proinflammatory cytokines . | well tolerated | no side effects | a cure | 47 % had improved Nugent score | induced resolution of BV and restoration of normal vaginal | reduction in IL-1β and IL-6 vaginal cytokines | cytokines . Vaginal neutral sphingomyelinase | can cure BV and reduce vaginal inflammatory,"Effectiveness of vaginal tablets containing lactobacilli versus pH tablets on vaginal health and inflammatory cytokines: a randomized, double-blind st"
3287999,train,149,Forty patients scheduled to undergo thoracotomy,Transcutaneous electrical nerve stimulation | transcutaneous electrical nerve stimulation . | randomly allocated to receive either transcutaneous electrical nerve stimulation with intramuscular papaveretum ( 20 patients ) or intramuscular papaveretum alone ( 20 patients ) for postoperative pain relief .,"Pain relief | peak expiratory flow rate -- a | Total intramuscular analgesic requirements in the first 24 hours , time to satisfactory transfer to oral analgesia , antiemetic requirements and length of stay in hospital postoperatively | Peak expiratory flow rate was compared pre- and postoperatively | postoperative nausea and vomiting | peak expiratory flow rate .",Transcutaneous electrical nerve stimulation after thoracotomy. Pain relief and peak expiratory flow rate--a trial of transcutaneous electrical nerve s
3816105,train,309,Adult inpatients who had received warfarin sodium 10 mg daily for less than three days were eligible for the study . | total of 54 patients met the study criteria,three dosage-prediction | Three dosage-prediction methods | warfarin therapy | warfarin sodium 10 mg daily | analog computer | linear regression | empiric dosing by the physician,prothrombin time ( PT ) ratio | stable PT ratio | number of days ( time to stabilization ) | stable PT ratio ( stabilization dosage ) | stable PT ratio | mean times to stabilization,Evaluation of three dosage-prediction methods for initial in-hospital stabilization of warfarin therapy. Three dosage-prediction methods for initial i
23647705,train,462,"milk production of dairy cattle in Canada | Gastrointestinal nematodes , such as Ostertagia ostertagi and several species of Cooperia , are ubiquitous in temperate climates and have been shown to have detrimental effects on production in adult dairy cattle . | lose approximately 0.35 kg of milk per parasitized cow per day . | ELISA results from individual cow milk samples were used to predict milk production response",anthelmintic treatment | Enzyme-linked immunosorbent assays,milk production of dairy cattle | milk antibodies | optical density ratios ( ODRs ) | milk production | ODR values . | ODR values | when ODR values | the ODR values,Predicting the effect of anthelmintic treatment on milk production of dairy cattle in Canada using an Ostertagia ostertagi ELISA from individual milk 
16199793,train,226,"people with schizophrenia in Beijing , China : | people with schizophrenia and their families | sample of Chinese people with schizophrenia . | large hospital with a sample of 101 patients with schizophrenia and their families .",Family education | family treatments | patient and family education | family education | control group . | Family education,"knowledge about schizophrenia , symptoms , functioning , psychosocial behaviour , relapse and medication adherence | significant improvement in knowledge about schizophrenia | significant difference in symptom scores and functioning | relapse .","Family education for people with schizophrenia in Beijing, China: randomised controlled trial. BACKGROUND Much of China lacks well-developed services "
9562733,train,184,cerebral ischaemia of arterial origin will be | enroll 4500 patients with a mean follow-up of three years . Primary outcome | multicentre study in which 60-80 hospitals in the Netherlands and other countries in Europe and Australia will participate .,"anticoagulant therapy , | acid plus dipyridamole or treatment with acetylsalicylic acid alone ? | ( international | ( in | only (","complications following | of vascular death , stroke , myocardial infarction , or major bleeding complication ; outcome assessment","Prevention of vascular complications following cerebral ischemia of arterial origin; the ESPRIT trial: mild anticoagulant therapy, combination treatme"
14627879,train,283,RUPP autism study : | Research Units on Pediatric Psychopharmacology ( RUPP ) Autism Network | 94 participants had usable data . | parents of autistic children with irritable behavior .,risperidone versus placebo,"tantrums , aggression , and hyperactivity . Interrater reliability | Mean ratings at endpoint | Clinical Global Impression-Improvement | Aberrant Behavior Checklist Irritability | Effect size d | Aberrant Behavior Checklist | Effect sizes | irritable behavior .",Parent-defined target symptoms respond to risperidone in RUPP autism study: customer approach to clinical trials. OBJECTIVE A consumer-oriented effica
22683613,train,459,"patients with multiple myeloma and low peripheral blood CD34 ( + ) cell count : | patients with multiple myeloma . | patients with multiple myeloma , stratified by preapheresis PB CD34 ( + ) cell count : < 10 , < 15 , < 20 , and ≥20 cells/μL","Plerixafor plus granulocyte colony-stimulating factor versus placebo plus granulocyte colony-stimulating factor | plerixafor plus granulocyte colony-stimulating factor ( G-CSF ) versus placebo plus G-CSF | the plerixafor | the placebo | the plerixafor | collection in plerixafor-treated | similar in the plerixafor and | addition , plerixafor plus | superiority of plerixafor","the greater stem cell collection | groups , the proportion of patients proceeding to transplantation and the median time to platelet and neutrophil engraftment",Plerixafor plus granulocyte colony-stimulating factor versus placebo plus granulocyte colony-stimulating factor for mobilization of CD34(+) hematopoie
20973459,train,306,postmenopausal women . | Filipino female adults ( 30.8 % ) was found in the age group from 40 to 59 years . | postmenopausal women . | Women who were at least 5 years postmenopausal were invited to participate | Sixty women were qualified to participate | postmenopausal women .,"High-calcium milk | high-calcium , fortified , low-fat milk drink | added vitamin D | low-calcium placebo drink | high-calcium milk | placebo drink . | high-calcium fortified milk",Anthropometric indices | anthropometric indices | body mass index | dietary calcium intake,High-calcium milk prevents overweight and obesity among postmenopausal women. BACKGROUND The Sixth National Nutrition Survey 2003 revealed that the hi
21575074,train,348,primary school-aged children with pragmatic language impairment : | children with specific language impairment . | Children with pragmatic language impairment ( CwPLI ) | children with specific language impairment ( CwSLI ) . | Primary school-aged CwPLI ( n= 59 ) and CwSLI ( n= 12 ) were recruited from speech and language therapists . | CwPLI and CwSLI,standardized assessments,"word reading , non-word reading , reading comprehension , and written expression skills | literacy skills | individual scores | mean scores on each of the literacy skills | literacy measures | language ability | non-verbal intelligence | level of literacy impairment",Literacy skills in primary school-aged children with pragmatic language impairment: a comparison with children with specific language impairment. BACK
18581595,train,244,patients receiving radiotherapy for breast cancer . | Postoperative radiotherapy for breast cancer | Forty women were randomized before radiotherapy | Seventeen patients | exercise group | Twenty-three patients | control group | exercise group | control group | groups . | Patients receiving radiotherapy for breast cancer,supervised exercise therapy | moderate-intensity exercise | radiotherapy . | exercise group | supervised moderate-intensity exercise therapy | control group | perform self-shoulder stretching exercise . | radiotherapy . | radiotherapy . | radiotherapy . | supervised moderate-intensity exercise therapy .,"World Health Organization Quality of Life-BREF ( WHOQOL-BREF ) , brief fatigue inventory ( BFI ) , range of motion ( ROM ) of the shoulder , and pain score | WHOQOL-BREF and shoulder ROM | decrease in BFI and pain score | WHOQOL-BREF and shoulder ROM | increase in BFI and pain score | WHOQOL , BFI , shoulder ROM , and pain score",Effects of supervised exercise therapy in patients receiving radiotherapy for breast cancer. PURPOSE Postoperative radiotherapy for breast cancer has 
24027014,train,301,colorectal cancer screening among Iranian health club members : | Twelve health clubs of a municipal district in Tehran were randomized | A total of 360 members aged 50 and older from 12 health clubs completed a baseline survey .,theory-based intervention | theory-based interventions | received usual services throughout the study | received a theory-based educational program on colorectal cancer screening plus a reminder call . | theory-based intervention,"colorectal cancer screening | Screening behavior | increased knowledge of colorectal cancer and screening tests | improved self-efficacy , perceived susceptibility , efficacy of screening , social support , and intention to be screened for colorectal cancer | screening rate for colorectal cancer | colorectal cancer screening",Effectiveness of a theory-based intervention to increase colorectal cancer screening among Iranian health club members: a randomized trial. Colorectal
9419170,train,216,patients with advanced human immunodeficiency virus disease . | 310 patients entering a controlled trial of prophylaxis with valaciclovir versus acyclovir .,valaciclovir versus acyclovir . | polymerase chain reaction,cytomegalovirus viremia | number of samples | PCR viremia and PCR viruria | PCR viremia,The effect of valaciclovir on cytomegalovirus viremia and viruria detected by polymerase chain reaction in patients with advanced human immunodeficien
19523608,train,195,"human volunteer trial | 304 men aged between 16 and 50 years from Kolkata , India . | adults from a cholera endemic region .",live oral cholera vaccine VA1.3 | live oral cholera vaccine developed from a non-toxigenic Vibrio cholerae O1 El Tor strain VA1.3,adverse events | mild diarrhoea and vomiting . None excreted | Vibriocidal antibody response | anti-CT antibody rose | safe and immunogenic,Randomized placebo controlled human volunteer trial of a live oral cholera vaccine VA1.3 for safety and immune response. A live oral cholera vaccine d
12585724,train,195,"children with autistic spectrum disorders . | 31 children with autistic spectrum disorders in an 8-week , double-blinded study","L-carnosine supplementation | L-Carnosine , a dipeptide | placebo .","Childhood Autism Rating Scale , the Gilliam Autism Rating Scale , the Expressive and Receptive One-Word Picture Vocabulary tests , and Clinical Global Impressions of Change . | Gilliam Autism Rating Scale ( total score and the Behavior , Socialization , and Communication subscales ) and the Receptive One-Word Picture Vocabulary test","Double-blind, placebo-controlled study of L-carnosine supplementation in children with autistic spectrum disorders. L-Carnosine, a dipeptide, can enha"
16386890,train,211,patients treated in the CHART trial of accelerated radiotherapy in head and neck cancer . | 402 patients,conventional and accelerated radiotherapy . | assessed by Ki-67 staining | accelerated radiotherapy | accelerated radiotherapy .,Locoregional control | therapeutic benefit,Pre-treatment proliferation and the outcome of conventional and accelerated radiotherapy. This study investigated the influence of pre-treatment proli
25149412,train,450,autism . | autism spectrum disorder | autism spectrum disorder | 17 males with autism spectrum disorder | 17 typically developing demographically-matched male participants . | 20 males with autism spectrum disorder . | autism spectrum disorder,oxytocin 's,"behavioural and neural deficits | emotion recognition | behavioural deficits in inferring others ' social emotions | inferring others ' beliefs | right anterior insula | posterior superior temporal sulcus | Behaviourally , oxytocin | correct rate in inferring others ' social emotions | originally-diminished brain activity in the right anterior insula | ability to understand others ' social emotions",Oxytocin improves behavioural and neural deficits in inferring others' social emotions in autism. Recent studies have suggested oxytocin's therapeutic
9395031,train,258,"patients with untreated acute myeloid leukemia . | In 1996 , survival data were updated from three prospective , randomized comparisons of idarubicin and daunorubicin that began in 1984 and 1985 . These were trials of the Memorial Sloan-Kettering Cancer Center ( MSKCC ) , the U.S. Multicenter Study Group , and the Southeastern Cancer Study Group ( SEG ) .",idarubicin and daunorubicin | idarubicin and daunorubicin,significant difference between idarubicin and daunorubicin . | survival analysis | advantage of idarubicin,Long-term follow-up of three randomized trials comparing idarubicin and daunorubicin as induction therapies for patients with untreated acute myeloid 
26678641,train,353,pericardial effusion after open-heart surgery : | Pericardial effusion ( PE ) | PE after open-heart surgery . | single-center trial at Tehran Heart Center . A total of 149 patients with mild or moderate PE in transthoracic echocardiography | coronary artery bypass graft surgery patients | PE .,receive 1 mg/d colchicine ( n = 74 ) or 1 tablet of placebo ( n = 75 ) for 2 weeks and then underwent follow-up echocardiography .,Pericardial effusion ( PE ) | PE sizes | effusion changes | posttreatment effusion values and changes | isolated coronary artery bypass graft surgery patients | asymptomatic postoperative PE .,"Efficacy of colchicine versus placebo for the treatment of pericardial effusion after open-heart surgery: A randomized, placebo-controlled trial. BACK"
25001365,train,268,"Neck circumference and early stage atherosclerosis : | NC and early stage atherosclerosis in Chinese adults . | central China . In total 2,318 men and women ( 18-64 y ) were included in the final analyses . | risk of early stage atherosclerosis in Chinese","Neck circumference | study samples were from a community-based health examination survey | Carotid radial pulse wave velocity ( crPWV ) , carotid femoral PWV ( cfPWV ) , carotid artery dorsalis pedis PWV ( cdPWV ) and NC were measured .","Carotid radial pulse wave velocity ( crPWV ) , carotid femoral PWV ( cfPWV ) , carotid artery dorsalis pedis PWV ( cdPWV ) and NC | cfPWV , cdPWV and crPWV | hypertension status and NC level",Neck circumference and early stage atherosclerosis: the cardiometabolic risk in Chinese (CRC) study. BACKGROUND Neck circumference (NC) has been previ
24675775,train,318,modified eggs and an egg-yolk based beverage on serum lutein and zeaxanthin concentrations | One hundred healthy volunteers were recruited and randomized into 5 groups for 90 days .,modified eggs and an egg-yolk based beverage | lutein or zeaxanthin enriched eggs or a lutein enriched egg-yolk based buttermilk beverage | Naturally enriched eggs | one normal egg to their daily diet | group two received a lutein enriched egg-yolk based beverage . | one lutein enriched egg | group four one zeaxanthin enriched egg to their diet . | control group and individuals in this group did not modify their daily diet . | zeaxanthin enriched eggs | lutein or zeaxanthin enriched egg yolks | egg yolk-based beverage,serum lutein and zeaxanthin concentrations | serum lutein and zeaxanthin concentrations | Serum lutein and zeaxanthin concentrations | macular pigment densities | Macular pigment density | Serum lutein concentration | serum zeaxanthin concentration | macular pigment density | serum lutein and zeaxanthin levels,The effect of modified eggs and an egg-yolk based beverage on serum lutein and zeaxanthin concentrations and macular pigment optical density: results 
20843746,train,467,ovarian stimulation for IVF . | prior to IVF | in 1509 patients | of 1509 patients,corifollitropin alfa versus recombinant FSH | corifollitropin alfa | recombinant FSH ( rFSH ) | 150μg corifollitropin alfa versus daily 200IU rFSH | after corifollitropin alfa | of corifollitropin alfa and rFSH | of corifollitropin alfa | of recombinant FSH ( rFSH ) | of corifollitropin alfa versus daily rFSH | 150μg corifollitropin alfa | 200IU rFSH | for corifollitropin alfa | daily rFSH | reached . Corifollitropin alfa | pharmacokinetics of corifollitropin alfa and rFSH,"on serum concentrations of FSH immunoreactivity | the number and size of growing follicles , and inhibin B and oestradiol concentrations | The rate of follicular development | The number of follicles ⩾11mm | The rise of inhibin B and oestradiol concentrations | stimulation . Serum levels of FSH immunoreactivity | the number and size of growing follicles and serum inhibin | and oestradiol concentrations | analysis ) . Serum FSH immunoreactivity levels | in a similar growth rate of follicles | slightly higher number of follicles | induced pharmacodynamic effects",Pharmacokinetics and follicular dynamics of corifollitropin alfa versus recombinant FSH during ovarian stimulation for IVF. A single injection of cori
11815321,train,298,"normal pregnancy . | several mammalian species . | pregnant women | pregnant women with abnormally increased 3-HIA excretion . | Twenty-six pregnant women with increased 3-HIA excretion were studied in a randomized , placebo-controlled trial ; | normal pregnancy",300 microg ( 1.2 micromol ) biotin/d or placebo .,3-hydroxyisovaleric acid ( 3-HIA ) | Urine samples | 3-HIA excretion | 3-HIA excretion | 3-HIA excretion | 3-HIA excretion | excretion of 3-HIA | biotin status .,Marginal biotin deficiency during normal pregnancy. BACKGROUND Biotin deficiency is teratogenic in several mammalian species. Approximately 50% of pre
18556898,train,146,"sensory problems for children with autism . | children with autism . | Trakya University Training and Research Center for Mentally and Physically Handicapped Children in Turkey . | comprising 15 children between 7 and 11 years of age with autism , according to DSM-IV criteria .",sensory integration therapy program | sensory integration therapy program | sensory integration therapy program,sensory problems | sensory characteristics,A sensory integration therapy program on sensory problems for children with autism. The study was planned to investigate the effect of a sensory integ
1467386,train,127,healthy subjects . | 10 healthy men,m-chlorophenylpiperazine ( mCPP ),"plasma homovanillic acid concentrations | plasma concentrations of the dopamine metabolite , homovanillic acid . | mCPP raised prolactin and temperature as compared to placebo | plasma homovanillic acid concentrations . | mCPP does not alter dopamine function .",Effect of m-chlorophenylpiperazine on plasma homovanillic acid concentrations in healthy subjects. In view of the abundant anatomical and functional i
8561059,train,292,"postmenopausal women with and without hormone-replacement therapy . | postmenopausal women consuming a fish oil supplement . | Forty-eight women , equally divided between women using and not using HRT",RRR-alpha-tocopheryl acetate and fish oil | hormone-replacement therapy . | RRR-alpha-tocpheryl acetate ( alpha-tocopheryl acetate ) and hormone-replacement therapy ( HRT ) | fish oil supplement . | ( placebo ) | alpha-tocopheryl acetate,"LDL resistance to oxidative modification | calculating lag time , propagation rate , and maximum production of conjugated dienes . | lag time and slowed propagation rate | plasma and LDL alpha-tocopherol contents significantly and lengthened lag time | propagation rate | maximum production | propagation rates and higher maximum production | resistance of LDL to oxidation | LDL oxidative susceptibility .",Effects of interaction of RRR-alpha-tocopheryl acetate and fish oil on low-density-lipoprotein oxidation in postmenopausal women with and without horm
1286738,train,321,hereditary androgenic alopecia in young males . | young males with hereditary androgenic alopecia . | alopecia with a mild to moderate perifollicular inflammation zone . | 20 subjects who received two tablets of ViviScal once daily and 20 who received two tablets of fish extract once daily for 6 months . The mean patient age and mean duration and severity of baldness | Most patients had been treated with long-term topical 2 % minoxidil for 1 year or more | three patients withdrew from the study before the fourth month due to lack of therapeutic effect .,"ViviScal , with fish extract | ViviScal ( a new food supplement incorporating special marine extracts and a silica compound ) with those of a fish extract | two tablets of ViviScal once daily and 20 who received two tablets of fish extract once daily for 6 months . | fish extract | fish extract",non-vellus hair count | lack of therapeutic effect . | mean increase in non-vellus hair | both clinical and histological cure | erythemal index,"A comparative study of a new food supplement, ViviScal, with fish extract for the treatment of hereditary androgenic alopecia in young males. A contro"
18991158,train,222,"pathological gamblers . | pathological gamblers | pathological gamblers . Fourteen subjects ( three females and 11 males ) , who met the criteria for pathological gambling in accordance with the Diagnostic and Statistical Manual of Mental Disorders IV | pathological gamblers",cognitive-behavioural group therapy | short-term cognitive-behavioural group therapy programme | Treatment Group ( n=7 ) | waiting list Control Group ( n=7 ) . | short-term cognitive-behavioural group treatment,"DSM-IV Criteria for Pathological Gambling , Money Spent on Gambling During the Last Week and Gamblers Inventory of Negative Consequences . | DSM-IV Criteria for Pathological Gambling | Money Spent on Gambling During the Last week",A controlled study of the effect of cognitive-behavioural group therapy for pathological gamblers. As the number of pathological gamblers has increase
19545929,train,418,"advanced non-small cell lung cancer : | patients with locally advanced or metastatic non-small cell lung cancer ( NSCLC ) | Patients in stage IIIB or IV NSCLC | 105 ( GA arm , 51 ; PG arm , 54 ) eligible patients ( stage IV , 32 and 30 , respectively )",Gemcitabine combined with either pemetrexed or paclitaxel in | combination of gemcitabine and pemetrexed | either gemcitabine | and pemetrexed | followed by gemcitabine | ( GA | followed by gemcitabine | ( PG | . Other severe | were diarrhoea,"safety , activity , and impact on quality of life | response rate | survival was 5.1 | survival was 10.5 | peripheral neuropathy ( 31 | effects of GA | derangement ( 10 | moderately active in advanced",Gemcitabine combined with either pemetrexed or paclitaxel in the treatment of advanced non-small cell lung cancer: a randomized phase II SICOG trial. 
19552904,train,258,clomiphene citrate-resistant women with polycystic ovary syndrome . | women with clomiphene citrate ( CC ) -resistant polycystic ovary syndrome ( PCOS ) . | Thirty-seven women with CC-resistant PCOS were randomly assigned | women with CC-resistant PCOS .,clomiphene citrate | metformin or placebo,"hyperandrogenism , insulin resistance , cervical scores , and pregnancy rates | Luteinizing hormone ( LH ) , follicle stimulating hormone ( FSH ) , dehydroepiandrostendione sulfate ( DHEAS ) , total testosterone ( T ) , glucose , and insulin levels | body mass index ( BMI ) , cervical score , and pregnancy rate . | BMI , total T level , and percentage of participants with insulin resistance | LH , FSH , and DHEAS levels ; | ovulation rate and a thicker endometrium | pregnancy rate and cervical scores | hyperandrogenism and insulin resistance | cervical sores , ovulation rate , and pregnancy rate",Short-term metformin treatment for clomiphene citrate-resistant women with polycystic ovary syndrome. OBJECTIVE To evaluate the effect of a short-cour
23827399,train,344,"patients with previous coronary artery bypass grafting ( from the j-Cypher Registry ) . | patients who had previously undergone coronary artery bypass grafting ( CABG ) in the drug-eluting stent era . | 12,812 patients who had undergone sirolimus-eluting stent implantation in the j-Cypher registry , 919 ( 7.2 % ) had a history of CABG and had significantly higher crude 5-year mortality ( 19.9 % vs 14.0 % , p < 0.001 ) | in patients with previous CABG | the patients with previous CABG | Among the patients with previous",Percutaneous coronary intervention | percutaneous coronary intervention | coronary artery bypass grafting ( CABG ) | underwent percutaneous coronary intervention,"crude 5-year mortality | the excess risk of death | adjusted risk of target lesion revascularization | higher adjusted risks of cardiac death | 0.01 ) , myocardial infarction | 0.03 ) , target lesion revascularization | < 0.001 ) , and definite stent thrombosis | conclusion , the adjusted mortality | different risk of target lesion revascularization | stent had worse clinical outcomes",Percutaneous coronary intervention in patients with previous coronary artery bypass grafting (from the j-Cypher Registry). A paucity of data is availa
16283087,train,147,"children with autistic spectrum disorders . | children with autistic spectrum disorders | Ten children were trained on theory of mind , whilst ten were trained in executive function . Seven children were assigned to a control group , receiving no intervention .",theory of mind | trained in executive function . | no intervention .,performance on theory of mind tasks | no improvement . | executive function tasks,A training study of theory of mind and executive function in children with autistic spectrum disorders. This study investigated the relationship betwe
26510728,train,385,"young children , adolescents and adults with chronic fatigue syndrome/myalgic encephalomyelitis ( CFS/ME ) . | cohorts from 8 paediatric and 27 adult CFS/ME services in the UK and a paediatric randomised controlled trial from the Netherlands . | younger ( aged < 12 years ) and older ( aged 12-18 years ) children with adults , and logistic regression to compare UK and Dutch adolescents | RESULTS Younger children had a more equal gender balance compared to adolescents and adults . Adults | that children with CFS/ME",multinomial regression,"more equal gender balance | more disability and fatigue | have cognitive symptoms | have headaches | have tender lymph nodes , palpitations , dizziness , general malaise and pain | have comorbid depression | have anxiety",Chronic fatigue syndrome (CFS) or myalgic encephalomyelitis (ME) is different in children compared to in adults: a study of UK and Dutch clinical coho
12021824,train,287,caffeine responses and levels of saliva concentration of caffeine in 52 subjects who were randomly assigned to receive one of two drug administration instructions :,placebo-informed instructions | individuals informed of the placebo ) | placebo-uninformed instructions | individuals informed they are taking an active stimulant ),"saliva concentration | caffeine responses and levels of saliva concentration of caffeine | ( systolic blood pressure , heart rate , hand steadiness , reaction time , fatigue , and tension ) | caffeine response . | saliva concentration | diastolic blood pressure and vigor | hand steadiness impairment and vigor",The influence of placebo awareness on stimulant drug response in a double-blind trial. RATIONALE Critics have called into question findings from doubl
16700802,train,262,653 patients with dermatophytoses | 653 patients included in the trial,,effective and safe | Treatment efficacy | adverse events | safety and tolerability,"Eberconazole 1% cream is an effective and safe alternative for dermatophytosis treatment: multicenter, randomized, double-blind, comparative trial wit"
14622630,train,249,hypertensive patients . | One hundred and seven subjects between the ages of 26 and 80 participated in,study medication ( potassium ) or placebo .,"MEMS ( Medication Event Monitoring System | urinary potassium level , capsule count , client self report and physician estimate of adherence | adherence measures | self-report related to forgetfulness | electronic monitoring with the MEMS | self-report items | general adherence scale . | capsule count",Measuring adherence in a hypertension clinical trial. BACKGROUND Non-adherence in hypertension is a global problem and promoting adherence is necessar
15730346,train,399,cocaine dependence . | studies were conducted at the Boston VA Healthcare System and the Boston University School of Medicine Medication Development Research Unit ( MDRU ) . | Participants met criteria for cocaine dependence during a 2-week screening period .,"paroxetine , pentoxifylline , riluzole , pramipexole and venlafaxine | paroxetine , pentoxifylline , riluzole , venlafaxine and pramipexole | active medication | cognitive behavioral counseling . | antidepressant paroxetine | phosphodiesterase inhibitor pentoxifylline | glutamate release inhibitor riluzole | antidepressant venlafaxine | dopamine agonist pramipexole | placebo . | paroxetine , pentoxifylline , riluzole , venlafaxine or pramipexole","Urine benzoylecgonine ( BE ) concentrations , self-report of cocaine use and global impression scores | assessments of cocaine craving and psychiatric functioning . Adverse events | urine BE concentrations | BE levels | Addiction Severity Index ( ASI ) | cocaine use and craving | self-reported cocaine use | tolerated .","Efficacy screening trials of paroxetine, pentoxifylline, riluzole, pramipexole and venlafaxine in cocaine dependence. AIMS The two studies presented h"
24506142,train,348,"patients with colonic obstruction due to suspected malignancy | in five UK centres from 2005 to 2010 | A SEMS was inserted in 334 patients , including 264 ( 79.0 % ) for palliation and 52 ( 15.6 % ) as a bridge to surgery . | colorectal cancer | colostomy . | 52 patients undergoing stenting as a bridge to resection . | a TTS technique | obstruction . Older , sicker patients and those with extracolonic and benign strictures",self-expanding metal stents . | stenting with a self-expanding metal stent ( SEMS ) .,"technical and clinical success , survival , complications and reoperation . | Technical success | one-stage primary anastomosis | Technical success | indication or site of obstruction | worse clinical outcome | The through-the-scope ( TTS ) endoscopy technique | more successful",Management of large bowel obstruction with self-expanding metal stents. A multicentre retrospective study of factors determining outcome. AIM UK cance
20004758,train,421,high-impact unilateral intervention . | Healthy premenopausal women | 61 women ( age 33.6+/-11.1 years ) completed the intervention . | premenopausal women,"Brief , high-impact exercise | exercise intervention | Brief high-impact exercise","bone health : | bone strength | fracture risk | fracture risk . | femoral neck bone density | femoral neck BMD | whether BMD change differed between hip sites | bone changes | Peak ground reaction forces | change in femoral neck BMD | BMD changes at upper neck , lower neck and trochanter | femoral neck BMD | hip fragility",Optimum frequency of exercise for bone health: randomised controlled trial of a high-impact unilateral intervention. INTRODUCTION Exercise can increas
15994014,train,374,hypertrophic scars after burn injury | 76 burn scars in 60 patients were,"pressure garment therapy | two types of pressure garments | two different levels of compression | assessed with the Minolta Chromameter CR-300 for erythema and with the Dermascan C for thickness of the scar over a period of 3 months . | "" normal "" or "" lower "" compression class treatment , with respectively mean values of 15 and 10 mmHg pressure after wearing the garment for 1 month . Measurements for both parameters were taken at 0 , 1 , 2 and 3 months of treatment .",erythema and thickness on burn related scars | erythema and thickness of burn scars | erythema and thickness . | Minolta Chromameter CR-300 | Dermascan C for thickness of the scar | erythema . | erythema and thickness values | erythema and thickness | scar maturation,The assessment of erythema and thickness on burn related scars during pressure garment therapy as a preventive measure for hypertrophic scarring. The 
1617528,train,318,"ventricular tachycardia : | 124 consecutive patients referred for treatment of symptomatic ventricular tachyarrhythmias , 57 consenting patients were eligible to have drug therapy selected by either noninvasive or invasive approaches .",noninvasive and invasive approaches . | noninvasive ( suppression of ventricular arrhythmias detected by ambulatory monitoring ) | invasive ( suppression of arrhythmias induced by programmed stimulation ) | noninvasive or invasive approaches . | invasive approach | noninvasive approach | invasive approach,"Economic evaluation | Costs of initial and follow-up | economic evaluation | primary outcome variable | symptomatic , sustained ventricular tachyarrhythmia recurrence ( including sudden death ) . | Initial hospitalization | follow-up hospital costs | total hospital costs | two-year actuarial probability of a recurrent , sustained , symptomatic ventricular tachyarrhythmia | initial hospital costs | follow-up costs . | antiarrhythmic efficacy | total hospital costs .",Drug therapy of ventricular tachycardia: a cost comparison of randomized noninvasive and invasive approaches. OBJECTIVE Economic evaluation of noninva
